id,job_title,soc_code,soc_title,company,city,state,wage_level,base_salary_usd,prevailing_wage_usd,case_status,submit_year,day1_green_card_policy,e_verify_registered,cap_exempt_organization,source_authority,verification_portal
lca-001,Senior Software Engineer (AI & Infrastructure),15-1252,Software Developers,Google LLC (Alphabet),Mountain View,CA,Level IV (Fully Competent),215000,178200,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-002,Machine Learning Research Scientist,15-2051,Data Scientists,Meta Platforms (Facebook),Menlo Park,CA,Level IV (Fully Competent),235000,189400,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-003,GPU Architecture Hardware Engineer,17-2072,Electronics Engineers,Nvidia Corporation,Santa Clara,CA,Level III (Experienced),205000,168500,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-004,iOS Systems Software Engineer,15-1252,Software Developers,Apple Inc.,Cupertino,CA,Level III (Experienced),192000,162400,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-005,Full Stack Cloud Developer,15-1252,Software Developers,Salesforce Inc.,San Francisco,CA,Level II (Qualified),168000,142100,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-006,Postdoctoral Biomedical Research Fellow,19-1029,"Biological Scientists, All Other",Stanford University & Healthcare,Stanford,CA,Level I (Entry),85000,74200,Certified,2026,True,True,True,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-007,Autopilot & Computer Vision Engineer,15-1252,Software Developers,Tesla Inc.,Austin,TX,Level III (Experienced),175000,138600,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-008,Cloud Database Kernel Developer,15-1252,Software Developers,Oracle America Inc. (Austin HQ),Austin,TX,Level III (Experienced),165000,132400,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-009,Analog IC Semiconductor Design Engineer,17-2072,Electronics Engineers,Texas Instruments Incorporated,Dallas,TX,Level II (Qualified),142000,118500,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-010,Clinical Oncology Research Scientist,19-1042,Medical Scientists,MD Anderson Cancer Center,Houston,TX,Level II (Qualified),96000,82100,Certified,2026,True,True,True,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
